1,1,'Estadio Juegos Mediterráneos','C/ Alcalde Santiago Martínez Cabrejas 5, 04007 Almería'
2,2,'Estadio San Mamés','C/ Felipe Serrate, 40813 Bilbao (Vizcaya)'
3,3,'Estadio Vicente Calderón','Paseo Virgen del Puerto 67, 28005 Madrid'
4,4,'Estadio de Balaídos','C/ Alcalde Santiago Martínez Cabrejas 5, 04007 Almería'
5,5,'Estadio Municipal Nuevo Arcángel','Avda. del Arcángel, 14010 Córdoba'
6,6,'Estadio Municipal de Riazor','c/ Manuel Murguía, 15011 A Coruña'
7,7,'Municipal de Ipurua','c/ Ipurua, 20600 Eibar (Guipúzcoa)'
8,8,'Estadio Martínez Valero','Avda. de Manuel Martínez Valero 3, 03208 Elche'
9,9,'Estadio Cornellà - El Prat','Avda. Baix Llobregat 100, 08940 Cornellá de Llobregat (Barcelona)'
10,10,'Estadio Camp Nou','C/ Arístides Mallol 12, 08028 Barcelona'
11,11,'Estadio Coliseum Alfonso Pérez','Avda. Teresa de Calcuta, 28903 Getafe (Madrid)'
12,12,'Estadio de Los Cármenes','C/ Pintor Manuel Maldonado, 18007 Granada'
13,13,'Estadio Ciutat de València','C/ San Vicente de Paul 44, 46019 Valencia'
14,14,'Estadio La Rosaleda','Paseo de Martiricos, 29011 Málaga, 5 04007 Almería'
15,15,'Estadio Santiago Bernabéu','C/ Concha Espina, 1,28036 Madrid'
16,16,'Estadio de Anoeta','Anoeta Pasealekua 1, 20014 San Sebastián'
17,17,'Estadio de Vallecas','C/ Payaso Fofó, 28018 Madrid'
18,18,'Estadio Ramón Sánchez-Pizjuán','Avda. Eduardo Dato, 41005 Sevilla'
19,19,'Estadio de Mestalla','Plaza Valencia CF 2 , 46010 Valencia'
20,20,'Estadio El Madrigal','C/ Blasco Ibáñez 2, 12540 Villarreal (Castellón)'